title,employer,location,description
Desenvolvedor Python Junior - Trabalho Remoto,BairesDev,"Home Office in São Paulo, SP","Há mais de 15 anos, a BairesDev® é líder em projetos tecnológicos."
Desenvolvedor Full Stack Junior,Bl Comunicações,"Home Office in São Caetano do Sul, SP",Estamos contratando: Full Stack Júnior!.
Desenvolvedor Front End Junior,SPIN PRICE OUTSOURCING LTDA,"São Paulo, SP",Estamos em busca de um Desenvolvedor Front End Jr para integrar nosso time!
"Desenvolvedor Backend Júnior (Python, JavaScript, Google Apps Script) – Remoto",MULTITTECH ENGENHARIA LTDA,"Home Office in Holambra, SP","Estamos buscando um Desenvolvedor Backend Júnior para atuar no desenvolvimento de integrações, automações e otimizações de processos internos."
Desenvolvedor Front-end,EcoStage,"Home Office in São Paulo, SP","Temos vagas disponíveis para júnior, pleno e sênior."
Desenvolvedor Júnior,Resh Cyber Defense,"Home Office in São Paulo, SP","Somos uma empresa especializada em pentests e segurança ofensiva, ajudando empresas, especialmente do setor financeiro, a fortalecerem sua segurança contra…"
Desenvolvedor Full Stack Júnior,EMPREGGA,"Home Office in São Paulo, SP","Somos uma Agência de Marketing Digital, localizada no bairro Morumbi, em São Paulo - SP, com foco em inovação e performance."
Desenvolvedor Back-End Júnior,Bl Comunicações,"Home Office in São Caetano do Sul, SP",Vaga: Desenvolvedor Back-End Júnior.
Junior QA Automation / Pesquisa + Desenvolvimento - Trabalho Remoto,BairesDev,"Home Office in Santo André, SP","Trabalhar em estreita colaboração com os desenvolvedores para criar casos de teste, projetar planos de teste e automatizar casos de teste para a verificação da…"
Desenvolvedor Full Stack Júnior - Home Office,Rvs Ltda,"Home Office in São Paulo, SP",Estamos em busca de um desenvolvedor júnior para integrar nosso time e nos ajudar a escalar nossas operações tecnológicas.
Desenvolvedor Backend Júnior Python / Pesquisa + Desenvolvimento - Trabalho Remoto,BairesDev,"Home Office in Campinas, SP","Há mais de 15 anos, a BairesDev® é líder em projetos tecnológicos."
Desenvolvedor de Software Junior,Thales,"Modelo Híbrido in São Bernardo do Campo, SP","In fast changing markets, customers worldwide rely on Thales."
Desenvolvedor Jr,Macfor | Full Marketing Digital,"Home Office in São Paulo, SP",Qual será sua missão aqui na Macfor?
DESENVOLVEDOR(A) FRONT-END JÚNIOR/ PLENO #1040,RHF Estadual Campinas – Parque Prado/SP,"Home Office in Campinas, SP",Estamos em busca de um(a) Desenvolvedor(a) Front-End para se juntar ao nosso time!
Dev. Ruby on Rails | Junior [Remoto],Husky,"Home Office in Brooklin, SP",Estamos em busca de uma pessoa desenvolvedora Ruby on Rails em início de carreira.
